Hora Salida,Casa (Paradero Oriente hunucma),C-65x68,sala de juicios,C-65x80,zoo,Horan,"Av Jacinto Canek 591, Centro",Tribunal Superior De Justicia Del Estado De Yucatan,Hogar Interceramic,Centro De Servicio Lth,Atlantida real,Iberia Corrugados,Soriana Hiper Canek,Taqueria Calvillo,REFACCIONES AUTOMOTRICES CANEK,SUBESTACION PONIENTE DE ELECTRICIDAD,El Corralon,Parada Walmart Caucel,La Gas - Caucel,AutoZone Refacciones,"Merida - Caucel, 407",Plaza Gran Santa Fe 91,Ucu,Hora Llegada(Hunucma),Semaforos,Cruces_con_mas_trafico,Velocidad_vehiculos_km_h,Topes,Fecha,Dia_Semana,Es_Fin_De_Semana,Es_Dia_Festivo,Via,Distancia,tiempo,paradas
5:00:00,4:58:00,4:59:00,5:00:00,5:02:00,5:06:00,5:12:00,5:14:00,5:15:00,5:16:00,5:15:00,5:19:00,5:20:00,5:23:00,5:26:00,5:31:00,5:32:00,5:35:00,5:38:00,5:39:00,5:38:00,5:37:00,5:38:00,5:55:00,6:16:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Terminal oriente, Calle 67 479, Centro, 97000 Mérida, Yuc."
6:00:00,6:01:00,6:04:00,6:04:00,6:05:00,6:11:00,6:17:00,6:19:00,6:22:00,6:21:00,6:22:00,6:25:00,6:26:00,6:29:00,6:32:00,6:37:00,6:39:00,6:42:00,6:46:00,6:46:00,6:47:00,6:47:00,6:48:00,7:05:00,7:26:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Sala de Juicios Orales 91, Parque Santiago, Centro, 97000 Mérida, Yuc. "
6:20:00,6:21:00,6:25:00,6:29:00,6:29:00,6:35:00,6:39:00,6:41:00,6:41:00,6:43:00,6:44:00,6:49:00,6:49:00,6:53:00,6:53:00,6:55:00,6:55:00,6:54:00,6:57:00,6:58:00,7:00:00,7:02:00,7:02:00,7:19:00,7:41:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado",TRUE,TRUE,Directa,30,50,"C-65 x 80 Col. Centro 91, Parque Santiago, Centro, 97000 Mérida, Yuc."
7:00:00,7:02:00,7:05:00,7:05:00,7:08:00,7:12:00,7:15:00,7:16:00,7:19:00,7:18:00,7:17:00,7:19:00,7:19:00,7:21:00,7:22:00,7:25:00,7:28:00,7:31:00,7:35:00,7:34:00,7:36:00,7:39:00,7:39:00,7:52:00,8:14:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Zoológico El Centenario 91, Parque Santiago, Centro, 97000 Mérida, Yuc."
8:00:00,8:00:00,8:05:00,8:09:00,8:09:00,8:13:00,8:18:00,8:19:00,8:20:00,8:21:00,8:20:00,8:25:00,8:24:00,8:28:00,8:29:00,8:31:00,8:31:00,8:31:00,8:32:00,8:32:00,8:34:00,8:37:00,8:40:00,8:55:00,9:16:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Hospital General Agustin O´Horan 91, Centro, 97000 Mérida, Yuc."
8:30:00,8:28:00,8:32:00,8:34:00,8:35:00,8:41:00,8:46:00,8:45:00,8:47:00,8:47:00,8:50:00,8:53:00,8:54:00,8:57:00,9:01:00,9:04:00,9:03:00,9:05:00,9:08:00,9:11:00,9:11:00,9:12:00,9:13:00,9:30:00,9:49:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Av Jacinto Canek 591, Centro, 97000 Mérida, Yuc."
9:00:00,9:01:00,9:02:00,9:05:00,9:05:00,9:10:00,9:12:00,9:14:00,9:18:00,9:20:00,9:21:00,9:25:00,9:25:00,9:30:00,9:31:00,9:33:00,9:32:00,9:34:00,9:36:00,9:36:00,9:39:00,9:40:00,9:42:00,9:59:00,10:18:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Tribunal Superior De Justicia Del Estado De Yucatán, Avenida Jacinto Canek Por 90 Y 96, Inalámbrica"
10:00:00,10:01:00,10:02:00,10:02:00,10:03:00,10:05:00,10:10:00,10:13:00,10:15:00,10:15:00,10:16:00,10:18:00,10:21:00,10:23:00,10:27:00,10:31:00,10:33:00,10:32:00,10:32:00,10:32:00,10:32:00,10:33:00,10:32:00,10:48:00,11:08:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Interceramic Oficial, Av Jacinto Canek 570, Paseo de las Fuentes, 97225 Mérida, Yuc.Centro De Servicio Lth, Bojórquez, 97220 Mérida, Yuc."
11:00:00,11:00:00,11:02:00,11:03:00,11:06:00,11:10:00,11:15:00,11:16:00,11:20:00,11:23:00,11:22:00,11:27:00,11:30:00,11:36:00,11:40:00,11:43:00,11:46:00,11:48:00,11:48:00,11:51:00,11:50:00,11:51:00,11:51:00,12:04:00,12:24:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Atlántida real, Merida - Caucel 283, Miguel Hidalgo, 97220 Mérida, Yuc."
12:00:00,11:59:00,12:04:00,12:06:00,12:07:00,12:13:00,12:18:00,12:17:00,12:21:00,12:23:00,12:23:00,12:26:00,12:28:00,12:30:00,12:33:00,12:37:00,12:40:00,12:42:00,12:46:00,12:45:00,12:44:00,12:44:00,12:46:00,13:03:00,13:22:00,25,"Soriana, REFACCIONES AUTOMOTRICES CANEK",40-50,12,1/1/2023,"Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo",TRUE,TRUE,Ucu,33.8,65,"Iberia Corrugados, Calle 59 -A # 813 Int. B X calle 50y 58 ., Nva. Hidalgo, 97220 Mérida, Yuc."
